index,name,ticker,explorers,github,price,volume_24h,percent_change_24h,percent_change_30d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,repo,stargazers_count,subscribers_count,forks,commits_per30d
1,Kaspa,KAS,https://explorer.kaspa.org/,https://github.com/kaspanet/rusty-kaspa,0.0785456430707826,106307310.94395693,-11.23862568,-36.59498302,-51.30300525,2026462390.148287,0.0718,2254576228.1,2025-03-04T00:38:00.000Z,kaspanet/rusty-kaspa,557.0,67.0,179.0,3.0
3,ApeX Protocol,APEX,,https://github.com/ApeX-Protocol/core,1.0207275581359203,43377134.56651657,-6.32965631,-32.06233386,-42.62892481,56956417.07520658,0.0,510363779.07,2025-03-04T00:38:00.000Z,ApeX-Protocol/core,53.0,4.0,22.0,0.0
4,Starknet,STRK,https://etherscan.io/token/0xca14007eff0db1f8135f4c25b34de49ab0d42766,https://github.com/orgs/starkware-libs/repositories,0.1960358658207653,49294869.3575622,-13.63718347,-39.56995728,-73.3627944,537825548.4114971,0.0191,1960358658.21,2025-03-04T00:38:00.000Z,,,,,0.0
5,Ethena,ENA,https://etherscan.io/token/0x57e114B691Db790C35207b2e685D4A43181e6061,https://github.com/ethena-labs,0.3668328243284964,345052994.36060715,-22.2233005,-46.46747597,-55.38712658,1182462682.1713877,0.0418,5502492364.93,2025-03-04T00:36:00.000Z,ethena-labs/code4arena-contest,30.0,1.0,22.0,0.0
7,Solana,SOL,https://solscan.io/token/So11111111111111111111111111111111111111111,https://github.com/solana-labs,142.7073345688063,9106698627.322803,-18.4062103,-34.05349992,-40.14631404,72463632260.0309,2.568,84951562876.51,2025-03-04T00:38:00.000Z,solana-labs/solana,13928.0,324.0,4665.0,0.0
8,Manta Network,MANTA,https://pacific-explorer.manta.network/token/0x95CeF13441Be50d20cA4558CC0a27B601aC544E5?tab=token_transfers,https://github.com/Manta-Network,0.326779730679769,51319284.34004597,-19.54650753,-42.91570011,-74.55832458,124177976.17857556,0.0044,326779730.68,2025-03-04T00:37:00.000Z,Manta-Network/Manta,240.0,22.0,125.0,2.0
11,Wormhole,W,https://solscan.io/token/85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,https://github.com/wormhole-foundation/wormhole,0.1158682702097266,62236314.8021847,-19.70023384,-51.84818375,-67.99186464,334723806.2889508,0.0119,1158682702.1,2025-03-04T00:38:00.000Z,wormhole-foundation/wormhole,1734.0,83.0,736.0,18.0
12,Iron Fish,IRON,https://explorer.ironfish.network/,https://github.com/iron-fish,0.2249947369733274,71088.9047378,-7.33289707,-36.11085414,-73.34011134,0.0,0.0,13790662.26,2025-03-04T00:38:00.000Z,iron-fish/ironfish,973.0,37.0,573.0,30.0
13,Chainlink,LINK,https://solscan.io/token/CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG,https://github.com/smartcontractkit/chainlink,14.450446751421488,747472173.2169688,-16.49185864,-37.67289786,-40.95047519,9220829645.111618,0.3268,14450446751.42,2025-03-04T00:38:00.000Z,smartcontractkit/chainlink,7207.0,327.0,1754.0,30.0
15,Toncoin,TON,https://tonscan.org/,https://github.com/ton-blockchain,3.0344494442939034,207686238.43003297,-12.79411902,-35.00195758,-56.24693253,7508153448.884799,0.2655,15547648171.25,2025-03-04T00:36:00.000Z,ton-blockchain/ton,3488.0,194.0,1153.0,6.0
16,Mantle,MNT,https://mantlescan.xyz/,https://github.com/mantlenetworkio,0.7317034205826978,128185070.26621096,-5.84713044,-37.86845738,-19.81071526,2461958389.1371055,0.0872,4550695372.59,2025-03-04T00:38:00.000Z,mantlenetworkio/mantle,244.0,24.0,108.0,0.0
17,Clore.ai,CLORE,https://clore.cryptoscope.io/,https://gitlab.com/cloreai-public,0.0256458699543473,5209034.30619571,-26.54031848,-51.88725272,-79.85618583,12838491.223324696,0.0,33339630.94,2025-03-04T00:38:00.000Z,,,,,0.0
19,Hashflow,HFT,https://etherscan.io/token/0xb3999F658C0391d94A37f7FF328F3feC942BcADC,https://github.com/hashflownetwork/,0.0807896595504292,11931503.64538929,-17.1655908,-41.50475533,-72.33358922,42847363.449323624,0.0015,80789659.55,2025-03-04T00:38:00.000Z,hashflownetwork/,Нет данных,Нет данных,Нет данных,3.0
20,Ondo,ONDO,https://etherscan.io/token/0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,https://github.com/ondoprotocol,0.9750120525467127,331854963.3843925,-17.25338336,-29.11956508,-43.4906356,3080167916.0660644,0.1092,9750120525.47,2025-03-04T00:38:00.000Z,ondoprotocol/ondo-v1,21,7,19,0.0
21,Pyth Network,PYTH,https://solscan.io/token/HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,https://github.com/pyth-network,0.1812789123909256,51309649.2385072,-17.2533025,-29.74015707,-65.98033173,657133872.0738367,0.0232,1812789123.91,2025-03-04T00:36:00.000Z,pyth-network/pyth-client,175,28,109,0.0
23,Celestia,TIA,https://www.mintscan.io/celestia,https://github.com/celestiaorg,3.4118365845704295,185005520.76777425,-17.45710865,-14.80399801,-58.15088781,1870025340.824525,0.0663,3774914325.55,2025-03-04T00:38:00.000Z,celestiaorg/celestia-node,957,33,975,3.0
24,Sui,SUI,https://suiexplorer.com/,https://github.com/MystenLabs,2.627555061294723,1099591017.7114162,-17.34518187,-30.79531516,-30.05568017,8328942398.036301,0.2952,26275550612.95,2025-03-04T00:38:00.000Z,MystenLabs/sui,6677,173,11355,3.0
25,Sei,SEI,,https://github.com/sei-protocol,0.2268042561349583,135974069.5083526,-15.73250998,-25.12646856,-67.85200581,1056340822.7217644,0.0374,2268042561.35,2025-03-04T00:36:00.000Z,sei-protocol/sei-chain,2761,122,826,3.0
26,NEAR Protocol,NEAR,https://nearblocks.io/,https://github.com/near,2.943670814896748,290314112.9402821,-15.658011,-31.95445828,-60.29631413,3498125033.417026,0.124,3644708818.9,2025-03-04T00:38:00.000Z,near/nearcore,2412,81,689,3.0
27,Aptos,APT,https://explorer.aptoslabs.com/,https://github.com/aptos-labs,5.7318552229559785,308767196.8053672,-14.38858756,-19.87193927,-60.73698617,3378157390.4239173,0.1197,6549742348.7,2025-03-04T00:37:00.000Z,aptos-labs/aptos-core,6233,208,3725,3.0
33,Merlin Chain,MERL,https://scan.merlinchain.io/token/0x5c46bFF4B38dc1EAE09C5BAc65872a1D8bc87378,https://github.com/MerlinLayer2,0.0887018950580916,22444714.0494397,-12.96983363,-31.03994105,-79.95188741,46568494.90549811,0.0,186273979.62,2025-03-04T00:39:00.000Z,MerlinLayer2/BTCLayer2BridgeContract,15,4,5,3.0
